timestamp,open,high,low,close,volume
2021-02-11,72.4100,72.6600,46.5200,51.1000,100285885
2021-02-05,316.5600,322.0000,51.0900,63.7700,300516642
2021-01-29,96.7300,483.0000,61.1300,325.0000,538515347
2021-01-22,41.5500,76.7573,36.0600,65.0100,359357661
2021-01-15,19.4100,43.0600,19.0100,35.5000,306041284
2021-01-08,19.0000,19.4500,17.0800,17.6900,33651415
2020-12-31,21.3100,21.9700,18.5600,18.8400,31022763
2020-12-24,15.8100,22.3499,15.2800,20.1500,72656276
2020-12-18,13.3400,16.3000,12.1400,15.6300,48878749
2020-12-11,17.0000,17.5000,13.0200,13.3100,62920155
2020-12-04,18.1700,19.4200,15.3800,16.9000,67395325
2020-11-27,12.9000,16.7400,12.6700,16.0800,38102798
2020-11-20,11.1600,13.4600,10.7200,12.7100,39812182
2020-11-13,12.7600,12.9300,10.8300,11.0100,22855460
2020-11-06,10.8200,12.1700,10.5000,11.8600,28712842
2020-10-30,14.9300,15.4500,10.3600,10.4700,42724065
2020-10-23,13.4400,15.8700,13.3800,15.0000,47854508
2020-10-16,11.6600,15.1000,11.4000,13.3100,96158571
2020-10-09,9.4400,14.8000,9.1000,12.0200,164255371
2020-10-02,10.1600,10.7597,9.3000,9.3900,26982234
2020-09-25,9.3500,11.1699,8.3800,10.0200,68497437
2020-09-18,6.8000,9.7700,6.4300,9.4700,69643202
2020-09-11,7.5500,8.2800,5.8700,6.0900,40504170
2020-09-04,5.7700,8.4500,5.6900,7.6500,96204654
2020-08-28,5.1000,5.5650,4.5600,5.3900,17985292
2020-08-21,4.7800,5.6000,4.4350,5.0300,21897634
2020-08-14,4.2000,4.8300,4.1800,4.7500,16361476
2020-08-07,4.0300,4.7600,3.9950,4.1600,23047393
2020-07-31,4.0200,4.2300,3.9200,4.0100,14185752
2020-07-24,3.9500,4.3050,3.7700,4.0300,14710692
2020-07-17,4.3500,4.5500,3.9400,3.9600,12384300
2020-07-10,4.3100,4.3800,4.0300,4.3400,10047400
2020-07-02,4.3500,4.5200,4.2000,4.2900,10209900
2020-06-26,4.7900,4.9900,4.2700,4.3500,15609581
2020-06-19,4.5000,5.0840,4.4200,4.8800,21408639
2020-06-12,4.2800,5.5300,4.1800,4.7200,39281668
2020-06-05,4.1200,4.7200,4.0200,4.1400,17607690
2020-05-29,4.3400,4.7600,4.0500,4.0600,12832622
2020-05-22,4.4000,4.7500,4.1300,4.1800,11088409
2020-05-15,4.9200,4.9590,3.9600,4.2200,11161890
2020-05-08,5.8400,5.9300,4.6500,4.9800,14391683
2020-05-01,4.8500,6.1800,4.8100,6.0500,22005220
2020-04-24,4.8500,5.9000,4.5800,4.7700,17340633
2020-04-17,4.2500,6.4700,4.1600,4.8800,36788560
2020-04-09,2.8600,4.2500,2.8250,3.8900,14965246
2020-04-03,4.2200,4.2700,2.5700,2.8000,18098985
2020-03-27,3.5800,5.0900,3.5000,4.2200,29586197
2020-03-20,3.9300,4.6500,3.5000,3.7600,24838591
2020-03-13,3.5900,4.6500,3.4800,4.5900,22915574
2020-03-06,3.6000,4.0700,3.3900,3.9200,17442156
2020-02-28,3.9000,3.9300,3.1849,3.6000,21309962
2020-02-21,4.0100,4.2950,3.9150,4.0400,7318735
2020-02-14,3.8500,4.5100,3.7400,4.0200,14673918
2020-02-07,3.8800,4.4100,3.7700,3.8100,12479900
2020-01-31,4.2000,4.3500,3.8300,3.8400,11716142
2020-01-24,4.7500,4.7500,4.2500,4.3200,12203387
2020-01-17,5.4300,5.6100,4.5100,4.7500,29468718
2020-01-10,5.8000,5.9100,5.3800,5.4300,19678849
2020-01-03,5.8800,6.4700,5.7600,5.8800,16802239
2019-12-27,6.0500,6.0700,5.2450,5.9000,24983876
2019-12-20,5.3900,6.2700,5.3900,5.9900,23735452
2019-12-13,6.6500,6.9200,5.1800,5.4500,47080600
2019-12-06,6.3500,6.6800,5.9300,6.6800,16288004
2019-11-29,5.6700,6.3900,5.6300,6.3400,9792588
2019-11-22,5.8500,5.8500,5.3500,5.6600,15300186
2019-11-15,6.0500,6.1100,5.7700,5.8800,10352437
2019-11-08,5.9000,6.3150,5.7700,6.0900,16268188
2019-11-01,6.3800,6.4900,5.3100,5.8400,20075124
2019-10-25,5.9800,6.6200,5.8200,6.3500,18781007
2019-10-18,5.3200,6.0500,5.2200,5.9400,22471447
2019-10-11,5.4800,5.5800,4.9600,5.3700,26297284
2019-10-04,5.4300,5.8150,5.2300,5.5500,33091250
2019-09-27,4.6800,5.5500,4.6100,5.3400,49465586
2019-09-20,4.3000,4.8000,4.1300,4.7000,42474455
2019-09-13,4.3500,5.1000,3.9700,4.4100,81694434
2019-09-06,3.9700,4.3600,3.6600,4.3100,26861477
2019-08-30,3.7200,4.3600,3.6450,3.9700,46467794
